ds,y
2015-01-02,139.35878963685985
2015-01-03,159.43014684579666
2015-01-04,133.01340930605429
2015-01-05,156.04861464025626
2015-01-06,134.72788510764985
2015-01-07,144.91096688741908
2015-01-08,123.22385015765198
2015-01-09,118.93206165181809
2015-01-10,135.72968358231978
2015-01-11,106.52562216174496
2015-01-12,127.31210312117193
2015-01-13,104.32166141400259
2015-01-14,113.4418455701058
2015-01-15,91.31329849900865
2015-01-16,87.20281784452692
2015-01-17,104.79245370205737
2015-01-18,76.96616327403827
2015-01-19,99.64342080556133
2015-01-20,79.11500749489845
2015-01-21,91.10324975532978
2015-01-22,72.21721545199726
2015-01-23,71.64955647619193
2015-01-24,93.00294236705123
2015-01-25,69.07858527747428
2015-01-26,95.74734487952563
2015-01-27,79.10961551953366
2015-01-28,94.91314475509915
2015-01-29,79.65436909113129
2015-01-30,82.45479130171154
2015-01-31,106.8533776566106
2015-02-01,85.59641634083593
2015-02-02,114.50972820263121
2015-02-03,99.65940857202389
2015-02-04,116.77023216558894
2015-02-05,102.32729658521917
2015-02-06,105.45242546809567
2015-02-07,129.69631326330855
2015-02-08,107.82786337719531
2015-02-09,135.7056277315524
2015-02-10,119.4375493295039
2015-02-11,134.79816798260563
2015-02-12,118.32889735403099
2015-02-13,119.21293064379178
2015-02-14,141.06579581217377
2015-02-15,116.72305264319829
2015-02-16,151.05238010044576
2015-02-17,123.40020139997952
2015-02-18,136.43033071202802
2015-02-19,117.79981213990638
2015-02-20,116.74401597710946
2015-02-21,136.92375787609026
2015-02-22,111.21205257508262
2015-02-23,135.56317127497897
2015-02-24,116.17025838822983
2015-02-25,128.88071451323177
2015-02-26,110.29499200932918
2015-02-27,109.64038943915634
2015-02-28,130.5608848765139
2015-03-01,105.90450935970547
2015-03-02,131.5932084842284
2015-03-03,113.78142340737085
2015-03-04,128.27256993648146
2015-03-05,111.61903156138662
2015-03-06,112.99722010533972
2015-03-07,135.99871056481044
2015-03-08,113.4189179197736
2015-03-09,141.1282312475486
2015-03-10,125.23180529855131
2015-03-11,141.4871597623019
2015-03-12,126.40517640428314
2015-03-13,129.12602601095142
2015-03-14,153.2110140449561
2015-03-15,131.43179965448536
2015-03-16,159.64189498483674
2015-03-17,143.93664139698305
2015-03-18,160.07081406854957
2015-03-19,144.5594510326728
2015-03-20,146.55344881317984
2015-03-21,169.63092771669704
2015-03-22,146.5858390432744
2015-03-23,173.29874164748054
2015-03-24,155.89596718287441
2015-03-25,170.1663497869077
2015-03-26,152.66114139599506
2015-03-27,152.568680122672
2015-03-28,173.50483948245898
2015-03-29,148.30075424274855
2015-03-30,172.8727720287241
2015-03-31,153.38086936131276
2015-04-01,165.6447244209322
2015-04-02,146.2430810845505
2015-04-03,144.38798158935265
2015-04-04,163.71490192734063
2015-04-05,137.0702884125177
2015-04-06,160.3814436164667
2015-04-07,139.81499596636183
2015-04-08,151.193137712161
2015-04-09,131.09325535734993
2015-04-10,128.72251698397545
2015-04-11,147.7084356549778
2015-04-12,120.8868909148764
2015-04-13,144.17253920625572
2015-04-14,123.71782970231405
2015-04-15,135.32979259780464
2015-04-16,115.57020693702007
2015-04-17,113.63069653114759
2015-04-18,133.12375884476197
2015-04-19,106.87119651742638
2015-04-20,130.7748722468184
2015-04-21,110.97599592638372
2015-04-22,123.272106113293
2015-04-23,104.21735063732177
2015-04-24,102.99761531717505
2015-04-25,123.22150865128997
2015-04-26,97.70867754250558
2015-04-27,122.36038232164333
2015-04-28,103.31854935403771
2015-04-29,116.38247418102834
2015-04-30,98.10879011835573
2015-05-01,97.68627326665194
2015-05-02,118.72648605330774
2015-05-03,94.05176577299025
2015-05-04,119.56548923483126
2015-05-05,101.41084487978509
2015-05-06,115.38729524578929
2015-05-07,98.05035490402942
2015-05-08,98.58625200914099
2015-05-09,120.60249877112422
2015-05-10,96.91586108689773
2015-05-11,123.42266806871953
2015-05-12,106.25768917433345
2015-05-13,121.21075801790528
2015-05-14,104.82676235344982
2015-05-15,106.2805611142194
2015-05-16,129.1678452024434
2015-05-17,106.29342258882144
2015-05-18,133.54185805577242
2015-05-19,117.03668450011989
2015-05-20,132.5573540539093
2015-05-21,116.63953801100786
2015-05-22,118.45032658401789
2015-05-23,141.57933627810905
2015-05-24,118.82719775036887
2015-05-25,124.57160702557829
2015-05-26,129.450340901262
2015-05-27,144.73083629428862
2015-05-28,128.45788415186618
2015-05-29,129.80504698307047
2015-05-30,152.3703759222599
2015-05-31,128.96471581471178
2015-06-01,155.48226929258647
2015-06-02,138.05963909356979
2015-06-03,152.49252202142733
2015-06-04,135.3356712775639
2015-06-05,135.77768825011844
2015-06-06,157.43166357790136
2015-06-07,133.12315395500835
2015-06-08,158.76043348111816
2015-06-09,140.49324720328366
2015-06-10,154.12924774284093
2015-06-11,136.23373810701318
2015-06-12,136.00428685370926
2015-06-13,157.06123907956007
2015-06-14,132.23561185277873
2015-06-15,157.4393135057615
2015-06-16,138.8239135318696
2015-06-17,152.19714161917386
2015-06-18,134.12273522374738
2015-06-19,133.795196960994
2015-06-20,154.83047939934357
2015-06-21,130.0540792011014
2015-06-22,155.37147280867185
2015-06-23,136.92711290089534
2015-06-24,150.52115659372606
2015-06-25,132.70953743490537
2015-06-26,132.6789355634694
2015-06-27,154.03765614086575
2015-06-28,129.6038987753802
2015-06-29,155.27633342411355
2015-06-30,137.1932110856678
2015-07-01,151.1491720546598
2015-07-02,133.69536423350394
2015-07-03,138.1955941303289
2015-07-04,182.13539807141007
2015-07-05,131.6016926014433
2015-07-06,157.58209509573518
2015-07-07,139.78928719909885
2015-07-08,154.01679234741215
2015-07-09,136.81492623879302
2015-07-10,137.36565728962785
2015-07-11,159.27334669186024
