ds,y
2017-05-26,336.4428763926805
2017-05-27,353.7589277721704
2017-05-28,336.591624771695
2017-05-29,354.41585865512803
2017-05-30,328.5690295670388
2017-05-31,303.87029921158154
2017-06-01,331.8461453804699
2017-06-02,336.29425417470605
2017-06-03,351.5874344189924
2017-06-04,332.6228551640628
2017-06-05,336.49137422097476
2017-06-06,321.8497687117658
2017-06-07,296.2568524915404
2017-06-08,323.68053430463374
2017-06-09,327.92033998072657
2017-06-10,343.3396108500159
2017-06-11,324.8151697474001
2017-06-12,329.4074233008882
2017-06-13,315.73368615083155
2017-06-14,291.3056765448509
2017-06-15,320.03819281979816
2017-06-16,325.673442184931
2017-06-17,342.5151762014856
2017-06-18,325.38036246362947
2017-06-19,331.2712971878009
2017-06-20,318.75088024740404
2017-06-21,295.2819398865584
2017-06-22,324.7375582551066
2017-06-23,330.8268164891791
2017-06-24,347.83006836331424
2017-06-25,330.5514354010694
2017-06-26,335.9914014182975
2017-06-27,322.7222120467213
2017-06-28,298.2269616868586
2017-06-29,326.40932566764025
2017-06-30,331.0183741241642
2017-07-01,346.3826050531667
2017-07-02,327.36092760815666
2017-07-03,331.0135203524467
2017-07-04,212.60884324352202
2017-07-05,289.7931094543004
2017-07-06,316.43314464714945
2017-07-07,319.7039564951596
2017-07-08,333.9883943565885
2017-07-09,314.1927850368226
2017-07-10,317.4161625711157
2017-07-11,302.3223835427531
2017-07-12,276.4761135386668
2017-07-13,303.8497402181208
2017-07-14,308.24573876929765
2017-07-15,324.0287052323004
2017-07-16,306.07485311304646
2017-07-17,311.44194670480806
2017-07-18,298.7424620277011
2017-07-19,275.48093049504416
2017-07-20,305.56248071954786
2017-07-21,312.71705583691613
2017-07-22,331.233466588154
2017-07-23,315.91101520668735
2017-07-24,323.7315998756726
2017-07-25,313.26207013251246
2017-07-26,291.9125018815097
2017-07-27,323.5277901536642
2017-07-28,331.78653562811394
2017-07-29,350.9365565426615
2017-07-30,335.7476737924177
2017-07-31,343.1846452689289
2017-08-01,331.7829518998642
2017-08-02,308.98831363392776
2017-08-03,338.66688785116696
2017-08-04,344.5305804846029
2017-08-05,360.8716002478163
2017-08-06,342.5139792968721
2017-08-07,346.4849767956531
2017-08-08,331.3891161974227
2017-08-09,304.7457892643307
2017-08-10,330.49743876855507
2017-08-11,332.4328124241671
2017-08-12,344.9194815396369
2017-08-13,322.8534096502217
2017-08-14,323.3285464144522
2017-08-15,305.0092514285868
2017-08-16,275.4665281563051
2017-08-17,298.6851189426194
2017-08-18,298.48598331563824
2017-08-19,309.2583724297742
2017-08-20,285.90929338685805
2017-08-21,285.53333607085773
2017-08-22,266.7856534874609
2017-08-23,237.2190516001503
2017-08-24,260.79220569304084
2017-08-25,261.29348292071916
2017-08-26,273.0745341637238
2017-08-27,251.00139360201436
2017-08-28,252.1259996920279
2017-08-29,235.06086770355037
2017-08-30,207.31780933112566
2017-08-31,232.8176581835742
2017-09-01,235.3154268475173
2017-09-02,249.13501075019548
2017-09-03,229.1211371151367
2017-09-04,241.51272121636669
2017-09-05,217.3113821448481
2017-09-06,191.6328755237564
2017-09-07,219.20361754626768
2017-09-08,223.7915254279898
2017-09-09,239.73844224427353
2017-09-10,221.91083661545895
2017-09-11,227.37042463152937
2017-09-12,214.74747593911505
2017-09-13,191.5777486324818
2017-09-14,221.81007691906538
2017-09-15,229.22911639693783
2017-09-16,248.18745280026974
2017-09-17,233.55487169909674
2017-09-18,242.38777626898
2017-09-19,233.30156893281634
2017-09-20,213.80698722576744
2017-09-21,247.81745366557968
2017-09-22,259.07196904515274
2017-09-23,281.8677670261439
2017-09-24,271.01052667403326
2017-09-25,283.485115620073
2017-09-26,277.8296521261814
2017-09-27,261.4738358530317
2017-09-28,298.2485551789557
2017-09-29,311.8112377864334
2017-09-30,336.3810912730107
2017-10-01,326.69195238140236
2017-10-02,339.6656352785187
2017-10-03,333.78848279087845
2017-10-04,316.45198697603644
2017-10-05,351.46440636156234
2017-10-06,362.47777219509146
2017-10-07,383.7243643068733
2017-10-08,369.97031963523256
2017-10-09,465.0506126027362
2017-10-10,366.93834056931996
2017-10-11,343.69839348888365
2017-10-12,372.3837283720703
2017-10-13,376.7673706441972
2017-10-14,391.2150334906082
2017-10-15,370.6358125650943
2017-10-16,372.15247898254177
2017-10-17,354.474126170404
2017-10-18,325.232115342395
2017-10-19,348.4863504686125
2017-10-20,348.14640143381877
2017-10-21,358.701702067028
2017-10-22,335.1686481736649
2017-10-23,334.75761683762687
2017-10-24,316.24276296797126
2017-10-25,287.2956289887569
2017-10-26,311.95549054695624
2017-10-27,314.1519565627545
2017-10-28,328.33222751256733
2017-10-29,309.4427366131111
2017-10-30,314.5972693268301
2017-10-31,302.44859312698003
2017-11-01,280.5246017736942
2017-11-02,312.7360322592226
2017-11-03,322.8002666970371
2017-11-04,344.9754051485097
2017-11-05,334.01235993549034
2017-11-06,346.82788559375524
2017-11-07,341.88126308366526
2017-11-08,326.51550975133836
2017-11-09,364.4700375076658
2017-11-10,460.1259282651971
2017-11-11,466.64775195813695
2017-11-12,396.67029983170625
2017-11-13,410.68097062094967
2017-11-14,405.6087363643156
2017-11-15,388.78726119106216
2017-11-16,423.9809364474042
2017-11-17,434.8132631707669
2017-11-18,455.47863335350644
2017-11-19,440.7730511786506
2017-11-20,447.69083137685817
2017-11-21,434.8257592426324
2017-11-22,409.70968627836436
2017-11-23,443.1388208124699
2017-11-24,438.5081870664566
2017-11-25,450.6575636916263
2017-11-26,427.8309001338753
2017-11-27,427.2438396043084
2017-11-28,407.69852785976565
2017-11-29,376.91657545830935
2017-11-30,399.04240944329985
2017-12-01,398.06161843388986
2017-12-02,408.5285986353219
2017-12-03,385.5113999719997
2017-12-04,386.2568588103851
2017-12-05,369.55892773824485
2017-12-06,343.09128055354813
2017-12-07,370.91133123307856
2017-12-08,376.88026467623445
2017-12-09,395.39335368459973
2017-12-10,381.3284021033183
2017-12-11,391.7153164472219
2017-12-12,385.1096095009688
2017-12-13,368.9307868960944
2017-12-14,406.9726113344748
2017-12-15,422.8296848950444
2017-12-16,450.63445734697564
2017-12-17,445.01232901755554
2017-12-18,462.75767882236545
2017-12-19,462.21345342228744
2017-12-20,450.61510962159826
2017-12-21,491.60575865564675
2017-12-22,508.6668235629992
2017-12-23,535.8582085814069
2017-12-24,527.7755633400201
2017-12-25,481.5203731826468
2017-12-26,534.5305284758854
2017-12-27,515.1054576149852
2017-12-28,546.7368277616283
2017-12-29,553.0850441429459
2017-12-30,568.4223274372362
2017-12-31,547.5850046947377
2018-01-01,380.7917974493114
2018-01-02,527.2829049286598
2018-01-03,494.1246723935006
2018-01-04,512.2471446876089
2018-01-05,505.5987839755218
2018-01-06,508.7287610633549
2018-01-07,476.73262811205245
2018-01-08,466.9175847396023
2018-01-09,438.17023877822555
2018-01-10,398.2879464501953
2018-01-11,411.4808930742205
2018-01-12,401.7895497139232
2018-01-13,403.81183231192585
2018-01-14,372.6478686281981
2018-01-15,488.2799695079673
2018-01-16,341.29444294533766
2018-01-17,307.5843217285815
2018-01-18,328.4856707997841
2018-01-19,327.84644970672275
2018-01-20,340.04411997734917
2018-01-21,319.93602335951005
2018-01-22,324.5309460083683
2018-01-23,312.36460011348566
2018-01-24,290.8399025344692
2018-01-25,323.699637063669
2018-01-26,334.5725743233118
2018-01-27,357.59370625243196
2018-01-28,347.3996103490827
2018-01-29,360.8050397135617
2018-01-30,356.1826885311019
2018-01-31,340.8069118333146
2018-02-01,378.36824789927107
2018-02-02,392.4030672855454
2018-02-03,417.0323730002382
2018-02-04,406.91737225717293
2018-02-05,418.93463887925384
2018-02-06,411.553527605026
2018-02-07,392.1766937757484
2018-02-08,424.65066272308826
2018-02-09,432.6908873264636
2018-02-10,450.61544797725946
2018-02-11,433.2951566957074
2018-02-12,437.82303344868063
2018-02-13,422.88596848021734
2018-02-14,396.0995761316772
2018-02-15,421.5133318462417
2018-02-16,423.0305696748721
