ds,y
2015-01-02,154.5082798042022
2015-01-03,158.14350486123556
2015-01-04,155.09713566332204
2015-01-05,152.93935077949936
2015-01-06,142.44047284385303
2015-01-07,131.2666511732828
2015-01-08,132.08721130732445
2015-01-09,131.66741983242184
2015-01-10,131.8688854441726
2015-01-11,125.91519601790787
2015-01-12,121.43564362850745
2015-01-13,109.24615559713234
2015-01-14,97.04393677547083
2015-01-15,97.5141402485356
2015-01-16,97.42233098874424
2015-01-17,98.61496984487923
2015-01-18,94.28551417694219
2015-01-19,135.8949728865767
2015-01-20,82.57401798063597
2015-01-21,73.57910636041541
2015-01-22,77.64092315271675
2015-01-23,81.43883139078793
2015-01-24,86.7275236501683
2015-01-25,86.60540912183998
2015-01-26,88.56151688487469
2015-01-27,83.25995070407602
2015-01-28,78.23830939499128
2015-01-29,86.01829276704439
2015-01-30,93.2021570699109
2015-01-31,101.47714592058279
2015-02-01,103.88539347303904
2015-02-02,107.87204342832864
2015-02-03,104.07059111590107
2015-02-04,100.0018433850301
2015-02-05,108.18470624518801
2015-02-06,115.23246352977873
2015-02-07,122.85668127135393
2015-02-08,124.13625230768416
2015-02-09,126.56435097260082
2015-02-10,120.83233908129608
2015-02-11,114.52705867781168
2015-02-12,120.23976781414463
2015-02-13,124.66043328257311
2015-02-14,129.57956856034858
2015-02-15,128.15518652539635
2015-02-16,171.14961087157062
2015-02-17,119.75180762852662
2015-02-18,111.19202294544658
2015-02-19,114.92986310443118
2015-02-20,117.70673845105037
2015-02-21,121.35459404575042
2015-02-22,119.06195724304952
2015-02-23,118.41822739946603
2015-02-24,110.19531348930653
2015-02-25,102.04310823739326
2015-02-26,106.59709548165159
2015-02-27,110.57183151586797
2015-02-28,115.76250135310791
2015-03-01,115.31211785727342
2015-03-02,116.75717314573623
2015-03-03,110.81080700997366
2015-03-04,105.05993878452637
2015-03-05,112.07461085786619
2015-03-06,118.50323748309694
2015-03-07,126.07591162480779
2015-03-08,127.87329107848754
2015-03-09,131.3738289396576
2015-03-10,127.23837368964277
2015-03-11,123.0085478730989
2015-03-12,131.21712548455451
2015-03-13,138.48407730273283
2015-03-14,146.52042055798194
2015-03-15,148.39738493483713
2015-03-16,151.5936581818878
2015-03-17,146.77974213870763
2015-03-18,141.51584076097555
2015-03-19,148.361519449497
2015-03-20,153.97083003517733
2015-03-21,160.09506803102403
2015-03-22,159.85070854450484
2015-03-23,160.76532163218093
2015-03-24,153.5605374163672
2015-03-25,145.84852289617098
2015-03-26,150.24024979017832
2015-03-27,153.4392863401859
2015-03-28,157.24331573716518
2015-03-29,154.8109601024385
2015-03-30,153.7067389702869
2015-03-31,144.68325565488595
2015-04-01,135.37709083051405
2015-04-02,138.41669400012898
2015-04-03,140.51601085056132
2015-04-04,143.4760479304632
2015-04-05,140.45194622398532
2015-04-06,138.9983794076125
2015-04-07,129.85235171265504
2015-04-08,120.62985160834026
2015-04-09,123.93462498363917
2015-04-10,126.45277581980746
2015-04-11,129.95536372209688
2015-04-12,127.56653674789501
2015-04-13,126.80998212296925
2015-04-14,118.39273750768317
2015-04-15,109.90278865259347
2015-04-16,113.91868951159682
2015-04-17,117.10488874217572
2015-04-18,121.21491211351756
2015-04-19,119.35992415377049
2015-04-20,119.05544164384607
2015-04-21,111.00523697569216
2015-04-22,102.79885796688518
2015-04-23,107.02100623782093
2015-04-24,110.34646914272807
2015-04-25,114.54277044091315
2015-04-26,112.73808276427164
2015-04-27,112.46719760663184
2015-04-28,104.45461660549965
2015-04-29,96.31121826621816
2015-04-30,100.6427709043742
2015-05-01,104.14401443367215
2015-05-02,108.60050566177779
2015-05-03,107.15579436262766
2015-05-04,107.35675026978376
2015-05-05,99.93612493381224
2015-05-06,92.50881917202526
2015-05-07,97.68013903949613
2015-05-08,102.13977158571298
2015-05-09,107.66367623039986
2015-05-10,107.38145893940776
2015-05-11,108.82204184153792
2015-05-12,102.69670130672769
2015-05-13,96.59592999953907
2015-05-14,103.0983870094706
2015-05-15,108.86564548953592
2015-05-16,115.64490949097623
2015-05-17,116.53724147510356
2015-05-18,119.04408668867553
2015-05-19,113.85114103073424
2015-05-20,108.52599240236566
2015-05-21,115.62777576360688
2015-05-22,121.80252981726986
2015-05-23,128.78640850228243
2015-05-24,129.67427382601264
2015-05-25,152.6413427929242
